Bait,Protein,predicted_probability,FDR,n_peptides,n_background,mean_cv,background_flag_protein
LMNA,SSRP1,0.7765999999999998,0.14006624018873917,16,9,1.5231074705934915,likely background
LMNA,SSX2IP,0.0,1.0,9,3,2.171331253698519,
LMNA,ST13,0.585,0.22078980478103818,5,3,1.6956477401543135,likely background
LMNA,ST7,0.7064999999999999,0.17280683366523425,2,0,4.058721167549101,
LMNA,STAG1,0.5493000000000002,0.2854705744014136,4,0,2.3122667113977213,
LMNA,STAG2,0.9274000000000003,0.0040650406504065045,13,0,2.503930567406264,
LMNA,STAM,0.0,1.0,9,2,1.5580594818601432,
LMNA,STAM2,0.0,1.0,2,0,3.8185130837016628,
LMNA,STAMBP,0.47650000000000003,0.4789033641030509,4,1,1.8353024112311493,
LMNA,STAMBPL1,0.6636000000000002,0.17515208061205448,15,2,1.675702593290001,
LMNA,STAT1,0.7090000000000001,0.1718046186244066,24,17,1.3507370549342534,likely background
LMNA,STAT2,0.0020000000000000005,1.0,15,4,1.7268846420693669,
LMNA,STAT3,0.6574999999999998,0.17521174340466383,37,27,1.4801250893449402,likely background
LMNA,STAT5B,0.6601,0.17515208061205448,16,3,2.2588745433872366,
LMNA,STAT6,0.032199999999999986,1.0,5,0,2.5162881562479624,
LMNA,STAU1,0.0,1.0,9,2,1.972027382663091,
LMNA,STAU2,0.006200000000000003,1.0,14,6,1.742335685255771,
LMNA,STBD1,0.0002,1.0,4,0,2.1478988948797144,
LMNA,STEAP3,0.0,1.0,4,1,1.636600481328967,
LMNA,STEEP1,0.7937999999999996,0.12242460635174807,6,0,1.7255194149453355,
LMNA,STIL,0.006000000000000003,1.0,20,1,2.347135084912204,
LMNA,STIM1,0.5391,0.34162749399352343,21,9,1.9229050515724264,
LMNA,STIM2,0.5915,0.21755712837809063,14,6,2.1346746452422765,
LMNA,STING1,0.7815000000000001,0.1387463081780222,2,0,2.443395160717826,
LMNA,STIP1,0.9462,0.002369816027439975,15,9,1.6562624706838065,likely background
LMNA,STK10,0.0,1.0,2,0,3.1064266143129267,
LMNA,STK11IP,0.0,1.0,3,0,2.304119010357286,
LMNA,STK26,0.0003,1.0,6,1,2.6849128566544933,
LMNA,STK3,0.0,1.0,11,0,2.15369816740247,
LMNA,STK36,0.0,1.0,2,0,3.7275560895598954,
LMNA,STK38,0.5426000000000001,0.3229163951012706,12,8,1.5135342266861709,likely background
LMNA,STK38L,0.011900000000000006,1.0,4,1,1.5292277120139883,
LMNA,STK4,0.0,1.0,3,0,3.117645795348428,
LMNA,STMN1,0.5245999999999997,0.3797107060097516,4,2,2.0301588815848577,likely background
LMNA,STOM,0.8242,0.06165530068195908,4,3,1.3844841406342638,likely background
LMNA,STOML2,0.4949,0.4227870465434634,3,0,2.8125417489341,
LMNA,STON2,0.0,1.0,2,0,2.8406436925577783,
LMNA,STRAP,0.5190000000000002,0.37986608982282655,16,10,1.5037143697346087,likely background
LMNA,STRBP,0.7184,0.16659762575992942,10,0,2.924948301577475,
LMNA,STRIP1,0.011900000000000006,1.0,15,2,2.478302039037613,
LMNA,STRIP2,0.0,1.0,3,0,2.5545106810750897,
LMNA,STRN,0.004300000000000002,1.0,19,2,1.81703937796389,
LMNA,STRN3,0.0,1.0,11,0,1.8534536517651288,
LMNA,STRN4,0.03249999999999999,1.0,14,3,1.5881123018269232,
LMNA,STT3A,0.6872,0.17515208061205448,6,4,2.105119974728909,likely background
